gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
TNFRSF14-AS1,210.5,5909.52501455803,0.6386716591526731,True
TNFRSF14,299.98,5616.290726385862,0.6566009950237932,True
ENSG00000228037,256.98,5693.945318362223,0.6518529307024015,True
PRXL2B,247.0,5685.799296130903,0.6523510060451909,True
TTC34,247.26,5502.178344306955,0.6635782119041911,True
MEGF6,199.82,5502.663166660387,0.6635485682262068,True
ENSG00000238260,190.54,5748.131210743168,0.6485398220273209,True
TPRG1L,337.22,5625.430035020096,0.6560421867918009,True
WRAP73,307.3,5724.563470213583,0.6499808333712269,True
TP73,268.52,5393.826534851459,0.6702032078965785,True
GFOD3P,234.82,5994.794904428886,0.6334579697689462,True
SMIM1,108.04,5379.648212974896,0.6710701184362644,True
LRRC47,326.8,5671.207710814192,0.6532431849089457,True
CEP104,296.3,5845.469411956572,0.6425882352823863,True
DFFB,246.3,5968.021849913647,0.6350949648478357,True
C1orf174,228.68,6185.703975374652,0.6217851436640384,True
LINC01134,203.58,5805.968807193501,0.6450034358181902,True
ENSG00000300565,159.6,5442.395344862852,0.667233546630214,True
ENSG00000287586,172.66,5714.06135297804,0.6506229683290712,True
NPHP4,295.06,5890.406470233808,0.6398406315968322,True
KCNAB2,339.56,5493.137713940913,0.6641309866132123,True
RPL22,187.56,6100.480366938271,0.6269960032443735,True
RNF207,156.26,6092.392306294994,0.6274905346196885,True
ICMT,254.26,5693.839782675792,0.6518593835111102,True
GPR153,141.96,5830.264752129135,0.6435178995946723,True
ACOT7,170.36,5918.387755054566,0.63812976123176,True
ESPN,109.34,5364.177084718233,0.672016075529304,True
TNFRSF25,135.2,6087.541807743062,0.6277871105017999,True
PLEKHG5,171.58,5976.191229927327,0.6345954613312548,True
NOL9,215.92,6023.869950281269,0.6316802231561438,True
ZBTB48,385.16,5302.500463436143,0.6757871926972704,True
KLHL21,202.78,5771.010598117756,0.6471408989227909,True
PHF13,205.48,5734.549509957618,0.6493702531361896,True
THAP3,369.96,5365.914909841105,0.671909819025307,True
DNAJC11,225.58,6140.574543155713,0.6245445097428485,True
CAMTA1,316.8,5705.923650980777,0.6511205349446177,True
VAMP3,387.84,5389.96289003712,0.670439444204395,True
ENSG00000269925,298.76,5495.417922826185,0.6639915669320584,True
PER3,189.96,5989.294736491395,0.6337942686339715,True
UTS2,218.28,5717.325372658361,0.6504233951294185,True
TNFRSF9,167.98,5406.658075836163,0.6694186440943954,True
PARK7,363.96,5405.4320958825,0.6694936046540814,True
ENSG00000284747,327.68,5326.761260651214,0.6743038055242303,True
ERRFI1,127.14,5863.662100179362,0.6414758728108003,True
SLC45A1,265.52,5733.499391054549,0.6494344609566158,True
RERE,213.08,5793.790664344368,0.6457480486490756,True
RERE-AS1,164.06,5925.327625463491,0.6377054340896673,True
ENO1,255.28,5444.693319101207,0.6670930407153037,True
