gene	n_merged_intervals	total_band_width	frac_holdouts_outside
PIK3R3	2	1344.421199975636	0.0
POMGNT1	1	2781.2420339326795	0.0
RAD54L	1	1394.9864533726036	0.0
LRRC41	1	5373.0623300338175	0.0
UQCRH	1	9454.795731972203	0.0
NSUN4	1	2258.6958177015476	0.0
FAAH	1	3340.6972993841596	0.0
ENSG00000291138	1	440.63162602337	0.0
MKNK1-AS1	1	1738.3673015990091	0.0
MKNK1	1	57313.316743703304	0.0
MOB3C	1	6821.904996167805	0.0
ATPAF1	1	2253.779793571884	0.0
EFCAB14	1	7454.20751839556	0.0
LINC00853	1	215.97812749396556	0.0
PDZK1IP1	1	40943.05677045352	0.0
ENSG00000309388	1	543.8882356530523	0.0
TAL1	3	26583.531820446133	0.0
STIL	1	924.4450204482774	0.0
CMPK1	1	8510.894378473855	0.0
FOXD2-AS1	1	448.25259917889093	0.0
SLC5A9	1	2744.0868034019863	0.0
ENSG00000272491	1	268.712751614322	0.0
SPATA6	1	2572.0479354750055	0.0
ENSG00000235105	1	260.751376515343	0.0
BEND5	1	479.4784511227257	0.0
FAF1	1	4629.54457921967	0.0
CDKN2C	1	5793.123647973734	0.0
RNF11	2	16236.350995774226	0.0
TTC39A	1	563.2295455774012	0.0
EPS15	1	7244.2241997377005	0.0
OSBPL9	1	15406.297762325863	0.0
NRDC	1	31820.87139762105	0.0
ENSG00000266993	1	421.31297943587947	0.0
TXNDC12	1	6648.957986589932	0.0
KTI12	1	756.9989146748393	0.0
BTF3L4	1	2900.2616090459433	0.0
ZFYVE9	1	1081.013901057752	0.0
CC2D1B	1	5534.064984715435	0.0
ORC1	1	2816.5749975010426	0.0
PRPF38A	1	4016.873531344433	0.0
TUT4	2	5404.189609429754	0.0
GPX7	1	1065.8555173000395	0.0
SHISAL2A	1	1701.2087064934608	0.0
COA7	1	709.7273490409044	0.0
ZYG11B	1	3336.3797828056913	0.0
ECHDC2	2	5935.444838157803	0.0
SCP2	1	4551.482009045785	0.0
PODN	2	2626.0718398106364	0.0
SLC1A7	1	1389.8442950101514	0.0
CPT2	1	773.526750513179	0.0
CZIB	1	2143.1304578934796	0.0
MAGOH	1	1449.4648032186326	0.0
LRP8	1	1072.221625625252	0.0
NDC1	1	1288.164323337144	0.020000000000000018
YIPF1	1	11163.613376620879	0.0
IFT25	1	1343.1834116962452	0.0
LRRC42	1	1666.8985932440362	0.0
TMEM59	1	21975.950591652247	0.0
ENSG00000280378	1	454.9881839891924	0.0
TCEANC2	1	2532.1381588706367	0.0
CYB5RL	1	857.9739596281738	0.0
MRPL37	1	5192.390487980828	0.0
SSBP3	1	9381.355894329312	0.0
SSBP3-AS1	1	276.4326084176605	0.0
ACOT11	1	278.28569274398535	0.0
MROH7	2	628.8113474911033	0.0
TTC4	1	1628.6008314366566	0.0
PARS2	1	251.88874612132946	0.0
TTC22	1	1739.7329677369432	0.0
CIMAP2	1	256.61577903994146	0.0
DHCR24	2	7632.959034491318	0.0
BSND	1	1074.9423281972784	0.0
PCSK9	2	6693.186035973585	0.0
USP24	1	8325.000838914037	0.0
PLPP3	1	3477.335804214426	0.0
C8B	2	3060.66629213857	0.0
OMA1	1	1374.9120030561726	0.0
TACSTD2	1	2596.969865405481	0.0
MYSM1	1	4157.027412226519	0.0
JUN	1	132094.5287128209	0.0
JUN-DT	1	261.8274424312696	0.0
LINC02777	1	182.52437263334718	0.0
FGGY	1	1331.1295911505172	0.0
HOOK1	2	829.3075020317867	0.0
NFIA	1	1324.081305210057	0.0
TM2D1	1	1461.288814765154	0.0
PATJ	2	4559.358727864459	0.0
USP1	1	3672.737660021496	0.0
DOCK7	2	545.1654476612632	0.0
ANGPTL3	1	3994.3814201622986	0.0
ATG4C	1	939.9039208659616	0.0
ITGB3BP	1	767.3812326748507	0.0
ALG6	1	1856.2856193134978	0.0
EFCAB7	1	395.19356143644757	0.0
PGM1	1	6176.620673909104	0.0
CACHD1	1	424.67377726127796	0.0
RAVER2	1	2674.6218631531337	0.0
JAK1	1	37588.21662780939	0.0
LINC01359	2	507.58540537707245	0.0
AK4	1	1640.4206163439992	0.0
DNAJC6	1	2023.6027587109995	0.0
LEPROT	1	9255.575804930577	0.0
LEPR	1	452.22850815822795	0.0
PDE4B	1	23041.892282256344	0.0
SGIP1	1	746.1618571333306	0.0
DYNLT5	1	934.4392088579211	0.020000000000000018
MIER1	1	7076.487168010963	0.0
SLC35D1	1	1811.6682083655378	0.0
