gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
HSPB7,181.67088097087546,18084.28386978084,0.8732134009326435,0.94,46
OTOF,84.2436076643361,8015.568923099302,0.8726587707843771,0.92,30
IGLV10-54,202.838552327861,18511.371350625388,0.8722669058343131,0.94,35
GPX2,190.22760356025483,25065.948870215216,0.8709453001751233,0.92,45
APOM,110.2039482619694,5594.437209929698,0.8709262959587198,0.96,22
TRAV41,31.263379425721176,1882.0406564850327,0.8699202425745234,0.94,15
MYL1,173.41489443994527,22890.94336335429,0.8693088378512341,0.72,42
PCK1,57.26134130970389,6128.550852322511,0.8687925372786063,0.76,35
AKR7A3,48.875605216003066,4961.659590966987,0.8684748890718932,0.9,27
IGLV3-19,663.8514141984327,51783.86534877551,0.8680670847304173,1.0,36
PRG2,6092.062495974757,582316.304146401,0.8677833626080964,0.94,63
CPB1,97.24465169130515,9099.597926374838,0.8673896114393431,0.68,28
TRAV8-1,42.76134371718154,2596.037747907618,0.8669158551093413,0.94,14
TPSB2,87.39762125204393,8227.933238941416,0.866567451513699,0.84,32
IGKV1-17,208.01875668590213,15827.685937557753,0.8663656418053858,0.96,35
TNNC2,403.82990759991384,51385.00061955215,0.8660826263317021,0.9,52
HRG,309.73699345921773,35715.82782500745,0.8654437219515303,0.44,57
GIHCG,111.38936990435796,3746.334259769612,0.8652277757654057,0.96,19
TRAV16,29.070708562354408,1521.7571037710304,0.8651906288155695,0.98,12
FAM167B,29.21630229295066,1723.98987536429,0.8651336189814939,0.94,18
AMOTL1,91.0988112054897,3841.939906524573,0.8649101928662866,0.98,16
FHL1,612.1365925452675,33322.39897987764,0.864686120569319,0.96,34
IGLV5-52,45.05937878189165,1649.333192607276,0.8634590215714508,1.0,14
USP13,89.39012551156463,3241.6691204965587,0.8633479564274955,0.96,14
MYBPC2,166.1973779286112,20652.53814470807,0.8624409927358336,0.78,49
STAB1,11430.398373501048,346689.73535013426,0.8623571565958128,0.98,27
LEAP2,39.35953176016795,3016.7254875648164,0.8621461681210396,0.94,25
GAL3ST4,150.52059988934838,5461.273424380271,0.8619447318260665,0.96,19
TRIM29,43.17642488109624,2686.649187576937,0.8615406876170953,0.92,25
MT1H,58.93568574799125,7238.913355886074,0.8610489454823563,0.58,39
PRSS2,218.6344773024181,18719.957813916917,0.8609743240826726,0.7,33
PDLIM3,77.29267150758064,7620.849852756009,0.8608251565058904,0.9,30
CATIP-AS1,86.33638835460701,3416.0154033871295,0.8607494081556661,1.0,17
AKR1C1,244.9497582101766,18227.640920644797,0.8602763454052946,0.98,31
GATM,218.71678303375123,17768.246974130325,0.860137126358338,0.96,37
CELA3B,42.68116209686109,4021.405671991349,0.8599198824254337,0.52,23
PITPNM2,833.3028685361727,25833.77242869419,0.859903045213317,0.96,24
MT1X,765.4386536184693,66153.13999538949,0.8598134810492316,0.9,39
ADGRB2,101.43211047534624,4435.570829816246,0.8597992270445083,0.96,10
LZTFL1,132.07519581943117,3412.832693618014,0.8596775304493482,0.98,12
ENO3,692.5574560031961,53497.77548185659,0.8596341840757606,0.96,33
TRO,45.611576323580636,1723.091425116587,0.8586251072354643,1.0,17
TRAV5,31.41797491590157,1901.0736560828059,0.8583391763485653,0.92,17
ALDH1L1,44.891686786438875,4644.796435444429,0.8580986636322442,0.86,33
PRSS27,41.26879364710212,1250.5578057397418,0.8579517246764388,1.0,11
TXLNB,32.860666493073445,1235.490553112216,0.857790060096675,0.88,15
NEU4,20.81024796686117,1691.2253604411128,0.85712401454085,0.84,17
ADH6,48.697528149987605,5540.361761232734,0.8570799168988015,0.64,38
BHMT2,34.36372131602858,3441.4045262822265,0.8556855797816485,0.8,27
RHPN1,509.3972377551451,15718.299370020513,0.8556374943905302,1.0,20
TACC2,37.97001845596946,2686.0568311375837,0.8546739969798036,0.96,28
CAND2,27.351175565237583,1474.4635807934956,0.8546666789322896,0.98,18
CA8,30.271323776211595,1427.4488274521082,0.853704994094431,0.98,12
MT1G,406.014242472208,43356.06780142507,0.8531393281290846,0.88,49
SLC39A8,741.0277308354247,31445.781098370255,0.8524657238539908,0.94,25
CXCL1,523.798022503625,19746.20387998802,0.8524064887059073,0.96,25
CD1C,181.05472188001264,6382.4788615501275,0.8523406460280576,0.96,19
RETREG1,242.60391605252943,7328.107893846442,0.8523381798927654,0.98,23
PPL,107.84868797230833,4187.318554464628,0.8523254692318599,0.98,20
ORM2,298.6646670770301,21633.43700822406,0.8523118255931001,0.98,29
STK32B,36.14188080128018,1005.6925005949284,0.8520069649442275,0.96,10
FGA,338.2981131987419,37387.006275414526,0.8519456989838499,0.66,43
SLCO2B1,154.57900645547898,12559.04373871618,0.8518839940396187,1.0,33
GPNMB,384.0584505050777,32767.544106850444,0.8513630282500246,1.0,38
