n_train,holdout,set_size,genes_first10
753,10,21,MYSM1;ZRANB2;XRN1;SEC24B;ZFYVE16;PHF3;OTUD6B;UBR5;VPS26A;EMSY
753,10,7,PRPF38B;ARID4B;UBXN4;CLK1;CHD1;CREBRF;YAF2
753,10,5,NKTR;DMTF1;TAF2;BTAF1;HMGXB4
753,20,3,CCNL2;MCPH1;URI1
753,20,3,CHROMR;ANKIB1;ZDHHC21
753,21,10,LCK;CD2;CD8A;AGFG2;EEIG1;KLRK1;TRAC;APBA2;TMIGD2;NFATC2
753,21,4,CD5;CD3G;NLRC3;SBK1
753,21,3,TRBC1;ENSG00000284691;WNT10B
753,31,5,RRP15;MTREX;NAPEPLD;CMTR2;ZNF180
753,31,5,FAM135A;KRIT1;POMK;PUS7L;ZSCAN29
753,31,4,SMAD5;SOCS7;ZNF136;AMER1
753,39,3,MYOZ1;PYGM;MYBPC2
753,42,3,SFTPC;SFTPA2;SFTPA1
