gene,train_std,hdr90_coverage
ELOA,0.4990653066246577,0.88
PITHD1,0.5919873046799408,0.9
LYPLA2,0.5609605576301899,0.86
GALE,0.5146975271943948,0.98
HMGCL,0.5045201686802208,0.88
FUCA1,0.7697844831875321,0.92
CNR2,0.9053746036751497,0.82
PNRC2,0.7290816822961517,0.9
SRSF10,0.8250777117931315,0.82
IFNLR1,0.741641557138946,0.9
STPG1,0.5072664121156168,0.88
NIPAL3,0.8531319970994519,0.86
NCMAP-DT,0.38358631007865923,0.84
RCAN3,1.0159475889744514,0.84
SRRM1,0.8210712579973952,0.88
CLIC4,0.7261819606698392,0.9
RUNX3,1.809501487365231,0.86
SYF2,0.5615884289854522,0.96
ENSG00000284657,0.44411545323007295,0.92
RSRP1,0.9227183252922782,0.9
RHD,1.2686617729300582,0.92
TMEM50A,0.5964217851027104,0.92
RHCE,1.5409743376231528,0.86
MACO1,0.6420937026707824,0.9
LDLRAP1,0.9184855819042449,0.94
MAN1C1,0.8189219707371,0.86
ENSG00000233478,0.5449339593628766,0.86
SELENON,0.6154256581371604,0.84
MTFR1L,0.4326228100751704,0.9
AUNIP,0.5827829972394851,0.92
PAQR7,0.6891818285860645,0.88
STMN1,1.2084513832155919,0.88
PAFAH2,0.810449410745161,0.9
PDIK1L,0.6823410086275853,0.82
CNKSR1,0.6272220238143391,0.96
CEP85,0.7308546238848873,0.8
SH3BGRL3,0.4954277465256984,0.88
UBXN11,0.6309326412528393,0.92
CD52,1.048221957526631,0.9
CRYBG2,0.49000538699212665,0.92
ZNF683,1.739243602661967,0.9
DHDDS-AS1,0.3528496067653288,0.9
DHDDS,0.4767756438249072,0.94
HMGN2,0.6613905464879929,0.9
RPS6KA1,0.7361591587409739,0.86
ARID1A,0.6665526618509336,0.8
PIGV,0.804294576807063,0.96
ZDHHC18,0.735717057149625,0.94
ENSG00000304862,0.6435951955887567,0.86
SFN,0.6261981017968236,0.9
GPN2,0.5179309577742969,0.92
ENSG00000289554,0.42549804771496597,0.82
GPATCH3,0.47969151666179327,0.98
NUDC,0.774225378072365,0.94
TRNP1,0.4569476613541897,0.88
SLC9A1,0.6574520698271775,0.92
WDTC1,0.3821909150860923,0.96
TMEM222,0.7666512583023128,0.94
ENSG00000304055,0.8067644281150177,0.92
SYTL1,0.6310609894906575,0.92
MAP3K6,0.6059398475183315,0.88
FCN3,0.7366050381022121,0.94
WASF2,0.4144667175721522,0.88
AHDC1,0.904214960606809,0.9
FGR,0.6704032418033102,0.92
IFI6,1.3126164482569542,0.88
FAM76A,0.5389475238509867,0.88
STX12,0.5165525477023772,0.9
PPP1R8,0.6031439982909791,0.86
THEMIS2,0.6322039849116221,0.86
RPA2,0.45655095880518165,0.94
SMPDL3B,0.5078936513168408,0.94
XKR8,0.7638725862760033,0.88
EYA3,0.5072382388237283,0.9
ENSG00000289576,0.49644860218950154,0.94
PTAFR,1.7566754176867816,0.92
DNAJC8,0.5016749665962652,0.88
ATP5IF1,0.5763893072509362,0.88
ENSG00000270605,0.5927892461042297,0.86
SESN2,0.7978283053619714,0.94
MED18,1.3123602653220123,0.84
PHACTR4,0.6641413142597898,0.84
RCC1,0.677671988301192,0.92
SNHG3,0.7125056293224696,0.88
SNORA73B,0.365629950256461,0.92
TRNAU1AP,0.47053960989088517,0.94
SNHG12,0.9895806550423306,0.88
TAF12,0.5740950210029555,0.94
GMEB1,0.4173149627066371,0.86
YTHDF2,0.5621128136363402,0.88
EPB41,0.8531590916279409,0.94
SRSF4,0.5095434867991044,0.94
MECR,0.597466518173402,0.92
MATN1-AS1,0.8795562811007354,0.82
LAPTM5,0.4349707805166792,0.92
ENSG00000309098,0.9171135107317505,0.88
SDC3,0.9606158224271374,0.92
PUM1,0.6747955992970224,0.86
SNRNP40,0.5750937297679631,0.88
ZCCHC17,0.4805583838703708,0.94
FABP3,0.900959086695362,0.86
SERINC2,0.9225432462170833,0.92
TINAGL1,0.6907643944365475,0.92
PEF1,0.41969731840516744,0.92
COL16A1,0.37429364831325296,0.86
ADGRB2,0.9930772612924099,0.92
SPOCD1,1.0584519643939279,0.88
ENSG00000269967,0.44437234545253224,0.82
PTP4A2,0.45047870267602735,0.86
KHDRBS1,0.5475744519685739,0.92
TMEM39B,0.44951389088064186,0.96
KPNA6,0.430492804232862,0.9
TXLNA,0.6115400434615642,0.88
CCDC28B,0.6729820134697589,0.9
IQCC,0.412492777059897,0.8
TMEM234,0.39170713343097247,0.9
EIF3I,0.591336962527486,0.82
FAM167B,0.5478199064655757,0.9
LCK,1.4065074496185597,0.92
HDAC1,0.5072059011480214,0.94
MARCKSL1,0.9827457886961721,0.86
TSSK3,0.6387922602327833,0.94
FAM229A,0.7418921490048027,0.92
BSDC1,0.39734135765727346,0.88
ZBTB8OS,0.7131570349207014,0.98
RBBP4,0.634495671297602,0.88
NHSL3,0.6517419100676124,0.94
YARS1,0.8933288962219466,0.9
S100PBP,0.5057295320015583,0.9
TMEM54,0.4975654140269453,0.96
ENSG00000287691,0.671965623871814,0.9
RNF19B,0.6474494163452563,0.9
AK2,0.6320771896875774,0.84
AZIN2,0.766283307193321,0.9
ENSG00000278997,0.36925410975243633,0.9
TRIM62,0.6008846725239846,0.9
ENSG00000279179,0.39628176082538197,0.9
ZNF362,0.6297292940302468,0.96
ENSG00000225313,1.1843963409396479,0.92
PHC2,0.9960850664191514,0.92
RN7SKP16,0.8275352020953503,0.82
ZSCAN20,0.4228446507040675,0.86
SMIM12,0.4850781389578957,0.96
